,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
1018,channel-4 bd2 all mean,0.8239233134801791,1.1217194345748736,0.8743483175685446,-0.2977961210946944,-0.0504250040883654,channel-4,bd2,all,mean
1239,channel-5 bd2 dim-1 mean,0.9063032399069856,1.1131502606757278,0.937487199664912,-0.206847020768742,-0.0311839597579262,channel-5,bd2,dim-1,mean
19557,overall bd2 dim-3 median,0.811999365562115,1.1130377500576607,0.9013801843195164,-0.3010383844955456,-0.0893808187574014,overall,bd2,dim-3,median
203,channel-0 bd2 dim-2 percentile-25,0.9127728639766108,1.1125372127720632,0.9613882582148808,-0.1997643487954523,-0.0486153942382698,channel-0,bd2,dim-2,percentile-25
19541,overall bd2 dim-2 max,0.8286332530962722,1.111054890219329,0.9469134165832004,-0.2824216371230564,-0.1182801634869281,overall,bd2,dim-2,max
1021,channel-4 bd2 all percentile-25,0.8377959626724891,1.1103804557698458,0.8720158062903651,-0.2725844930973566,-0.034219843617876,channel-4,bd2,all,percentile-25
19558,overall bd2 dim-3 percentile-75,0.8217009652584826,1.105841314543741,0.8954053811916683,-0.2841403492852583,-0.0737044159331857,overall,bd2,dim-3,percentile-75
1022,channel-4 bd2 all median,0.7873020286689427,1.1040211933506854,0.8581485209180721,-0.3167191646817426,-0.0708464922491294,channel-4,bd2,all,median
613,channel-2 bd2 dim-1 median,0.8448548025584847,1.0946901804446063,0.9233459193383418,-0.2498353778861218,-0.0784911167798571,channel-2,bd2,dim-1,median
614,channel-2 bd2 dim-1 percentile-75,0.8719469004972431,1.0940290369276182,0.9611133413429684,-0.2220821364303751,-0.0891664408457253,channel-2,bd2,dim-1,percentile-75
602,channel-2 bd2 all median,0.858326394154052,1.0937724689977462,0.9374319574368892,-0.2354460748436941,-0.0791055632828372,channel-2,bd2,all,median
19530,overall bd2 dim-1 max,0.8112759595992249,1.085347131025493,0.918125886849437,-0.274071171426268,-0.106849927250212,overall,bd2,dim-1,max
204,channel-0 bd2 dim-2 median,0.886759619140912,1.0840250008821577,0.9492413838920348,-0.1972653817412455,-0.0624817647511228,channel-0,bd2,dim-2,median
1032,channel-4 bd2 dim-1 percentile-25,0.841061734428532,1.083832805350565,0.8702969961926683,-0.2427710709220329,-0.0292352617641362,channel-4,bd2,dim-1,percentile-25
603,channel-2 bd2 all percentile-75,0.8194509468728246,1.0811501519240287,0.9097681746770256,-0.2616992050512041,-0.090317227804201,channel-2,bd2,all,percentile-75
19524,overall bd2 all median,0.7774539581721465,1.0806618271509776,0.871072362690747,-0.3032078689788311,-0.0936184045186004,overall,bd2,all,median
19536,overall bd2 dim-1 percentile-75,0.7748213093349807,1.080205512270409,0.8679600573055183,-0.3053842029354283,-0.0931387479705375,overall,bd2,dim-1,percentile-75
618,channel-2 bd2 dim-1 norm-2,0.8465147851704897,1.0790903380934362,0.9229139214196468,-0.2325755529229465,-0.0763991362491571,channel-2,bd2,dim-1,norm-2
1228,channel-5 bd2 all mean,0.8907566937284995,1.0768203849124771,0.9017350066879466,-0.1860636911839776,-0.010978312959447,channel-5,bd2,all,mean
19487,overall life dim-1 mean,0.7390573304393799,1.0680702091725394,0.9072240403861024,-0.3290128787331594,-0.1681667099467223,overall,life,dim-1,mean
205,channel-0 bd2 dim-2 percentile-75,0.8583032824330892,1.0648347691514035,0.9136993057613254,-0.2065314867183143,-0.0553960233282362,channel-0,bd2,dim-2,percentile-75
1023,channel-4 bd2 all percentile-75,0.7698393673779507,1.0599413072101351,0.8272971914141781,-0.2901019398321844,-0.0574578240362274,channel-4,bd2,all,percentile-75
1038,channel-4 bd2 dim-1 norm-2,0.7875626296158408,1.056663811691253,0.8339820863262525,-0.2691011820754122,-0.0464194567104117,channel-4,bd2,dim-1,norm-2
1040,channel-4 bd2 dim-2 mean,0.7516936823045149,1.0533289400461825,0.8132719607623287,-0.3016352577416673,-0.0615782784578137,channel-4,bd2,dim-2,mean
612,channel-2 bd2 dim-1 percentile-25,0.8374320213976316,1.052484236060904,0.9106307166182446,-0.2150522146632725,-0.0731986952206129,channel-2,bd2,dim-1,percentile-25
620,channel-2 bd2 dim-2 mean,0.7629384333313078,1.0488942297297088,0.8560504985116064,-0.2859557963984009,-0.0931120651802985,channel-2,bd2,dim-2,mean
19535,overall bd2 dim-1 median,0.7652260394166303,1.046312921382003,0.8508038741166791,-0.2810868819653728,-0.0855778347000488,overall,bd2,dim-1,median
1034,channel-4 bd2 dim-1 percentile-75,0.7743029534538817,1.045817749720844,0.8340200321165769,-0.2715147962669624,-0.0597170786626952,channel-4,bd2,dim-1,percentile-75
1242,channel-5 bd2 dim-1 percentile-25,0.8039622539497665,1.0447904575088416,0.8549678032517994,-0.240828203559075,-0.0510055493020329,channel-5,bd2,dim-1,percentile-25
601,channel-2 bd2 all percentile-25,0.8313675173126247,1.0411272334244652,0.9076195124097562,-0.2097597161118405,-0.0762519950971315,channel-2,bd2,all,percentile-25
5218,channel-24 bd2 all mean,0.8050531777287204,1.032200014732244,0.8107124300130036,-0.2271468370035234,-0.0056592522842832,channel-24,bd2,all,mean
1243,channel-5 bd2 dim-1 median,0.7981548260230195,1.031911828028082,0.853592230645293,-0.2337570020050626,-0.0554374046222735,channel-5,bd2,dim-1,median
1232,channel-5 bd2 all median,0.8451014366890868,1.0304921874126785,0.8808705900609707,-0.1853907507235916,-0.0357691533718839,channel-5,bd2,all,median
19545,overall bd2 dim-2 percentile-25,0.7593017496517727,1.0303150911889938,0.8567651720787576,-0.2710133415372211,-0.0974634224269849,overall,bd2,dim-2,percentile-25
1027,channel-4 bd2 all norm-2,0.7599548351881036,1.0287328902718669,0.8189392003148289,-0.268778055083763,-0.0589843651267253,channel-4,bd2,all,norm-2
1449,channel-6 bd2 dim-1 mean,0.6941945882314905,1.0243660969050856,0.8036028292900876,-0.3301715086735951,-0.1094082410585971,channel-6,bd2,dim-1,mean
1248,channel-5 bd2 dim-1 norm-2,0.8162421276501094,1.0231092496482808,0.8362399240327114,-0.2068671219981713,-0.019997796382602,channel-5,bd2,dim-1,norm-2
19552,overall bd2 dim-3 max,0.7347514902661744,1.0184763536971844,0.850176674419902,-0.28372486343101,-0.1154251841537276,overall,bd2,dim-3,max
2488,channel-11 bd2 all mean,0.765480160133854,1.0114948470199787,0.8403893889483298,-0.2460146868861247,-0.0749092288144758,channel-11,bd2,all,mean
1233,channel-5 bd2 all percentile-75,0.8413233893608216,1.0113064895031938,0.8546987851318999,-0.1699831001423721,-0.0133753957710782,channel-5,bd2,all,percentile-75
2499,channel-11 bd2 dim-1 mean,0.7887550993631592,1.0101652719875427,0.8446496808015587,-0.2214101726243834,-0.0558945814383994,channel-11,bd2,dim-1,mean
1044,channel-4 bd2 dim-2 median,0.6874800323455506,1.008377385023215,0.75726512207359,-0.3208973526776644,-0.0697850897280394,channel-4,bd2,dim-2,median
19476,overall life all mean,0.7283304961021402,1.0059057139366674,0.8737329354744363,-0.2775752178345272,-0.1454024393722961,overall,life,all,mean
1043,channel-4 bd2 dim-2 percentile-25,0.7382578657131628,1.0038811687631273,0.7827378521916054,-0.2656233030499645,-0.0444799864784426,channel-4,bd2,dim-2,percentile-25
5223,channel-24 bd2 all percentile-75,0.7873887012675925,1.002447798806976,0.7881690750799714,-0.2150590975393834,-0.0007803738123788,channel-24,bd2,all,percentile-75
623,channel-2 bd2 dim-2 percentile-25,0.7780144087284973,0.999333879486458,0.8645157489957644,-0.2213194707579608,-0.0865013402672671,channel-2,bd2,dim-2,percentile-25
197,channel-0 bd2 dim-1 norm-1,0.8202766138877187,0.9989952421947458,0.8470825745084735,-0.1787186283070271,-0.0268059606207548,channel-0,bd2,dim-1,norm-1
191,channel-0 bd2 dim-1 sum,0.8202766138877187,0.9989952421947458,0.8470825745084735,-0.1787186283070271,-0.0268059606207548,channel-0,bd2,dim-1,sum
19556,overall bd2 dim-3 percentile-25,0.7488930905239355,0.9973254266812166,0.843373356520765,-0.2484323361572811,-0.0944802659968294,overall,bd2,dim-3,percentile-25
5229,channel-24 bd2 dim-1 mean,0.7965936079744718,0.9968017174127158,0.8088539473720993,-0.200208109438244,-0.0122603393976274,channel-24,bd2,dim-1,mean
1438,channel-6 bd2 all mean,0.6663985537905718,0.993028352421149,0.7719882829377687,-0.3266297986305772,-0.1055897291471968,channel-6,bd2,all,mean
156,channel-0 life dim-1 mean,0.7825653940856183,0.9921817650333052,0.837440767879581,-0.2096163709476869,-0.0548753737939626,channel-0,life,dim-1,mean
126,channel-0 amplitude-landscape-2-2 norm-1,0.7867534214752205,0.9913869203608648,0.83070844070039,-0.2046334988856442,-0.0439550192251694,channel-0,amplitude-landscape-2-2,norm-1,
1231,channel-5 bd2 all percentile-25,0.7941291528968573,0.989557899576184,0.8472904882222196,-0.1954287466793266,-0.0531613353253623,channel-5,bd2,all,percentile-25
1244,channel-5 bd2 dim-1 percentile-75,0.8330980732141762,0.98915924869465,0.8354348975645286,-0.1560611754804739,-0.0023368243503524,channel-5,bd2,dim-1,percentile-75
607,channel-2 bd2 all norm-2,0.7761812272326691,0.9861107590438076,0.8380729306654147,-0.2099295318111385,-0.0618917034327455,channel-2,bd2,all,norm-2
5240,channel-24 bd2 dim-2 mean,0.7669701498303128,0.9807338890643922,0.7873452349784318,-0.2137637392340794,-0.020375085148119,channel-24,bd2,dim-2,mean
145,channel-0 life all mean,0.7840527382696326,0.9794483086026238,0.840720215313471,-0.1953955703329911,-0.0566674770438383,channel-0,life,all,mean
103,channel-0 amplitude-wasserstein-2 norm-2,0.7773127132093247,0.97879547948818,0.8215331843284588,-0.2014827662788554,-0.044220471119134,channel-0,amplitude-wasserstein-2,norm-2,
154,channel-0 life all norm-2,0.7773127132093247,0.97879547948818,0.8215331843284588,-0.2014827662788554,-0.044220471119134,channel-0,life,all,norm-2
1237,channel-5 bd2 all norm-2,0.7668059116010086,0.9785863510802804,0.7996869942534696,-0.2117804394792718,-0.0328810826524609,channel-5,bd2,all,norm-2
150,channel-0 life all percentile-75,0.739181586227346,0.9779362831674726,0.7874110950963438,-0.2387546969401266,-0.0482295088689977,channel-0,life,all,percentile-75
1250,channel-5 bd2 dim-2 mean,0.7953176833370115,0.9775765627511503,0.8281543974805169,-0.1822588794141389,-0.0328367141435054,channel-5,bd2,dim-2,mean
2919,channel-13 bd2 dim-1 mean,0.7311620795147714,0.9773536707049092,0.8601981184591527,-0.2461915911901376,-0.1290360389443813,channel-13,bd2,dim-1,mean
100,channel-0 amplitude-wasserstein-2 dim-1,0.7727125298454811,0.976787693204036,0.825160052497102,-0.2040751633585548,-0.0524475226516208,channel-0,amplitude-wasserstein-2,dim-1,
165,channel-0 life dim-1 norm-2,0.7727125298454811,0.976787693204036,0.825160052497102,-0.2040751633585548,-0.0524475226516208,channel-0,life,dim-1,norm-2
1443,channel-6 bd2 all percentile-75,0.6305769156185589,0.9754791371362864,0.7573439962878812,-0.3449022215177274,-0.1267670806693223,channel-6,bd2,all,percentile-75
5222,channel-24 bd2 all median,0.7580905643805467,0.9737379692187148,0.7777117833361846,-0.2156474048381682,-0.0196212189556379,channel-24,bd2,all,median
118,channel-0 amplitude-landscape-1-2 norm-1,0.7915566624483295,0.973623949886286,0.8455253990385008,-0.1820672874379565,-0.0539687365901713,channel-0,amplitude-landscape-1-2,norm-1,
5233,channel-24 bd2 dim-1 median,0.7713822804648625,0.9734996889642964,0.7807890034825707,-0.2021174084994338,-0.0094067230177082,channel-24,bd2,dim-1,median
1453,channel-6 bd2 dim-1 median,0.6338658243799623,0.9710035635484536,0.7532464861323361,-0.3371377391684914,-0.1193806617523738,channel-6,bd2,dim-1,median
624,channel-2 bd2 dim-2 median,0.715087126222792,0.9704887643745423,0.7973153342502092,-0.2554016381517503,-0.0822282080274171,channel-2,bd2,dim-2,median
199,channel-0 bd2 dim-2 max,0.7942019479096989,0.9684155377313564,0.8924050625838156,-0.1742135898216575,-0.0982031146741166,channel-0,bd2,dim-2,max
2492,channel-11 bd2 all median,0.7113025072953134,0.968253566672452,0.76545109689786,-0.2569510593771387,-0.0541485896025465,channel-11,bd2,all,median
127,channel-0 amplitude-landscape-2-2 norm-2,0.7750886005384957,0.9680646984304064,0.8095814273689991,-0.1929760978919107,-0.0344928268305033,channel-0,amplitude-landscape-2-2,norm-2,
122,channel-0 amplitude-landscape-2-1 norm-1,0.7739939390102475,0.9639434772677123,0.8139167621789931,-0.1899495382574648,-0.0399228231687456,channel-0,amplitude-landscape-2-1,norm-1,
19492,overall life dim-1 percentile-75,0.6654401366718041,0.9600726923976224,0.8074887719390905,-0.2946325557258181,-0.1420486352672864,overall,life,dim-1,percentile-75
157,channel-0 life dim-1 std,0.7599263930299873,0.9584218418889756,0.8014315539306076,-0.1984954488589883,-0.0415051609006202,channel-0,life,dim-1,std
19534,overall bd2 dim-1 percentile-25,0.6859542014773126,0.9560689849648952,0.7721657676085177,-0.2701147834875826,-0.0862115661312051,overall,bd2,dim-1,percentile-25
146,channel-0 life all std,0.7329865096007134,0.9525423016339588,0.7847008836795752,-0.2195557920332455,-0.0517143740788618,channel-0,life,all,std
1442,channel-6 bd2 all median,0.6068881003224036,0.9525243312413388,0.7382271231186057,-0.3456362309189351,-0.1313390227962021,channel-6,bd2,all,median
177,channel-0 bd2 all max,0.8309842342792284,0.952181540227394,0.8728234566562129,-0.1211973059481655,-0.0418392223769844,channel-0,bd2,all,max
102,channel-0 amplitude-wasserstein-2 norm-1,0.7392171598368454,0.9492497731310748,0.7868158116280849,-0.2100326132942293,-0.0475986517912394,channel-0,amplitude-wasserstein-2,norm-1,
19477,overall life all std,0.6322406106622309,0.9474845492579748,0.7910443305645755,-0.3152439385957439,-0.1588037199023445,overall,life,all,std
2908,channel-13 bd2 all mean,0.7030377669968874,0.9451323453195706,0.8434969532856135,-0.2420945783226832,-0.1404591862887261,channel-13,bd2,all,mean
1458,channel-6 bd2 dim-1 norm-2,0.6326385656373024,0.944474924328528,0.7595551189961622,-0.3118363586912257,-0.1269165533588598,channel-6,bd2,dim-1,norm-2
19523,overall bd2 all percentile-25,0.6872524075497761,0.9421920090251552,0.7709707585784971,-0.2549396014753792,-0.0837183510287209,overall,bd2,all,percentile-25
19458,overall amplitude-silhouette-1-1 norm-1,0.6476892474900141,0.941721086427668,0.7677853806583658,-0.2940318389376538,-0.1200961331683516,overall,amplitude-silhouette-1-1,norm-1,
2508,channel-11 bd2 dim-1 norm-2,0.7437017456973032,0.9410951848507546,0.809544690735628,-0.1973934391534514,-0.0658429450383247,channel-11,bd2,dim-1,norm-2
186,channel-0 bd2 all norm-1,0.745535331142207,0.9401200051775356,0.7997609408684152,-0.1945846740353285,-0.0542256097262081,channel-0,bd2,all,norm-1
180,channel-0 bd2 all sum,0.745535331142207,0.9401200051775356,0.7997609408684152,-0.1945846740353285,-0.0542256097262081,channel-0,bd2,all,sum
1255,channel-5 bd2 dim-2 percentile-75,0.7280141283163676,0.9396363478330562,0.7605190864424087,-0.2116222195166885,-0.0325049581260411,channel-5,bd2,dim-2,percentile-75
114,channel-0 amplitude-landscape-1-1 norm-1,0.7946292859016394,0.9393480296904804,0.840200520977329,-0.1447187437888409,-0.0455712350756896,channel-0,amplitude-landscape-1-1,norm-1,
1441,channel-6 bd2 all percentile-25,0.6462025387939134,0.9378647548446664,0.7285786785090945,-0.2916622160507529,-0.0823761397151811,channel-6,bd2,all,percentile-25
625,channel-2 bd2 dim-2 percentile-75,0.6916729110930289,0.9372311488113774,0.7792414623336932,-0.2455582377183485,-0.0875685512406643,channel-2,bd2,dim-2,percentile-75
1452,channel-6 bd2 dim-1 percentile-25,0.6543803443336442,0.9357279240846216,0.7386419998321373,-0.2813475797509774,-0.084261655498493,channel-6,bd2,dim-1,percentile-25
5234,channel-24 bd2 dim-1 percentile-75,0.7676422269906885,0.9322031490079562,0.7764261407577177,-0.1645609220172676,-0.0087839137670291,channel-24,bd2,dim-1,percentile-75
1045,channel-4 bd2 dim-2 percentile-75,0.6483947418873472,0.9318655576882864,0.7166745454489009,-0.283470815800939,-0.0682798035615536,channel-4,bd2,dim-2,percentile-75
124,channel-0 amplitude-landscape-2-2 dim-1,0.7563075665506239,0.9279584613014046,0.789869968848405,-0.1716508947507806,-0.033562402297781,channel-0,amplitude-landscape-2-2,dim-1,
1031,channel-4 bd2 dim-1 sum,0.6804074624612959,0.9264042505507948,0.719420086359104,-0.2459967880894988,-0.0390126238978081,channel-4,bd2,dim-1,sum
1037,channel-4 bd2 dim-1 norm-1,0.6804074624612959,0.9264042505507948,0.719420086359104,-0.2459967880894988,-0.0390126238978081,channel-4,bd2,dim-1,norm-1
47,channel-0 silhouette-1 dim-1 sum,0.7209974620216976,0.926276261599526,0.7636660781286917,-0.2052787995778283,-0.0426686161069941,channel-0,silhouette-1,dim-1,sum
45,channel-0 silhouette-1 dim-1 mean,0.7209974620216976,0.926276261599526,0.7636660781286917,-0.2052787995778283,-0.0426686161069941,channel-0,silhouette-1,dim-1,mean
128,channel-0 amplitude-silhouette-1-1 dim-1,0.7209974620216976,0.926276261599526,0.7636660781286917,-0.2052787995778283,-0.0426686161069941,channel-0,amplitude-silhouette-1-1,dim-1,
53,channel-0 silhouette-1 dim-1 norm-1,0.7209974620216976,0.926276261599526,0.7636660781286917,-0.2052787995778283,-0.0426686161069941,channel-0,silhouette-1,dim-1,norm-1
576,channel-2 life dim-1 mean,0.7208207616659617,0.92501413859658,0.8193639321472808,-0.2041933769306183,-0.0985431704813191,channel-2,life,dim-1,mean
565,channel-2 life all mean,0.7318921065223285,0.9249819412401774,0.8332495109866649,-0.1930898347178489,-0.1013574044643363,channel-2,life,all,mean
123,channel-0 amplitude-landscape-2-1 norm-2,0.7615049650777173,0.9226352133218226,0.8011287931873654,-0.1611302482441053,-0.0396238281096481,channel-0,amplitude-landscape-2-1,norm-2,
1254,channel-5 bd2 dim-2 median,0.6949181007900032,0.9186804880130182,0.7318495403005207,-0.223762387223015,-0.0369314395105175,channel-5,bd2,dim-2,median
1253,channel-5 bd2 dim-2 percentile-25,0.6937901540590621,0.9184173663040676,0.7385644693490907,-0.2246272122450054,-0.0447743152900286,channel-5,bd2,dim-2,percentile-25
2503,channel-11 bd2 dim-1 median,0.7188899251533738,0.9157164014482356,0.7563944177861899,-0.1968264762948619,-0.037504492632816,channel-11,bd2,dim-1,median
119,channel-0 amplitude-landscape-1-2 norm-2,0.7554531676444997,0.9138853640014374,0.8058991239801483,-0.1584321963569377,-0.0504459563356486,channel-0,amplitude-landscape-1-2,norm-2,
1460,channel-6 bd2 dim-2 mean,0.5793257246051683,0.9111627351660326,0.723476084187554,-0.3318370105608643,-0.1441503595823857,channel-6,bd2,dim-2,mean
131,channel-0 amplitude-silhouette-1-1 norm-2,0.7195261060558416,0.91009157071037,0.7693616921119912,-0.1905654646545284,-0.0498355860561496,channel-0,amplitude-silhouette-1-1,norm-2,
5221,channel-24 bd2 all percentile-25,0.6926512886906167,0.90934936741002,0.7128636730689383,-0.2166980787194035,-0.0202123843783216,channel-24,bd2,all,percentile-25
2491,channel-11 bd2 all percentile-25,0.7006647786792168,0.9091030257148728,0.7474771946714904,-0.2084382470356559,-0.0468124159922735,channel-11,bd2,all,percentile-25
1447,channel-6 bd2 all norm-2,0.5965416404153008,0.9061724219413982,0.6934611138931271,-0.3096307815260974,-0.0969194734778263,channel-6,bd2,all,norm-2
161,channel-0 life dim-1 percentile-75,0.6825672572904409,0.90604786613084,0.7654606812581338,-0.2234806088403992,-0.0828934239676929,channel-0,life,dim-1,percentile-75
1463,channel-6 bd2 dim-2 percentile-25,0.5855982417360771,0.9038466187741656,0.682941917687269,-0.3182483770380885,-0.0973436759511918,channel-6,bd2,dim-2,percentile-25
24,channel-0 landscape dim-1 std,0.7316498287505356,0.9022245964361668,0.785199039599302,-0.170574767685631,-0.0535492108487664,channel-0,landscape,dim-1,std
1241,channel-5 bd2 dim-1 sum,0.6561765124999641,0.900971477116389,0.6714447248039456,-0.2447949646164249,-0.0152682123039814,channel-5,bd2,dim-1,sum
1247,channel-5 bd2 dim-1 norm-1,0.6561765124999641,0.900971477116389,0.6714447248039456,-0.2447949646164249,-0.0152682123039814,channel-5,bd2,dim-1,norm-1
130,channel-0 amplitude-silhouette-1-1 norm-1,0.7318821284837749,0.8996424321248241,0.7678848168027147,-0.1677603036410492,-0.0360026883189398,channel-0,amplitude-silhouette-1-1,norm-1,
116,channel-0 amplitude-landscape-1-2 dim-1,0.7340283562407726,0.899550671075102,0.7887812692924414,-0.1655223148343294,-0.0547529130516688,channel-0,amplitude-landscape-1-2,dim-1,
19459,overall amplitude-silhouette-1-1 norm-2,0.5965508334615144,0.8995183535359736,0.7348621495271146,-0.3029675200744592,-0.1383113160656002,overall,amplitude-silhouette-1-1,norm-2,
5232,channel-24 bd2 dim-1 percentile-25,0.6999299778509805,0.8994143894455893,0.7126790014835349,-0.1994844115946087,-0.0127490236325543,channel-24,bd2,dim-1,percentile-25
115,channel-0 amplitude-landscape-1-1 norm-2,0.742273127694997,0.8988400210477143,0.791138116135891,-0.1565668933527173,-0.048864988440894,channel-0,amplitude-landscape-1-1,norm-2,
19453,overall amplitude-landscape-2-2 norm-1,0.5755801877633799,0.8965860159794584,0.7266790381051893,-0.3210058282160785,-0.1510988503418093,overall,amplitude-landscape-2-2,norm-1,
19448,overall amplitude-landscape-2-1 norm-1,0.5689414547503686,0.8962189401918703,0.6974598777269861,-0.3272774854415017,-0.1285184229766175,overall,amplitude-landscape-2-1,norm-1,
2493,channel-11 bd2 all percentile-75,0.6847582339434906,0.8961212440996889,0.7431252054951661,-0.2113630101561983,-0.0583669715516755,channel-11,bd2,all,percentile-75
19488,overall life dim-1 std,0.6108010738803908,0.8954100936785644,0.7464850402623064,-0.2846090197981735,-0.1356839663819156,overall,life,dim-1,std
2504,channel-11 bd2 dim-1 percentile-75,0.6574457327264274,0.8944227515540568,0.7186454146385644,-0.2369770188276294,-0.0611996819121369,channel-11,bd2,dim-1,percentile-75
19455,overall amplitude-silhouette-1-1 dim-1,0.5997719252027002,0.8942033995626386,0.7319925867164394,-0.2944314743599384,-0.1322206615137392,overall,amplitude-silhouette-1-1,dim-1,
19339,overall silhouette-1 dim-1 mean,0.5997719252027002,0.8942033995626386,0.7319925867164394,-0.2944314743599384,-0.1322206615137392,overall,silhouette-1,dim-1,mean
19341,overall silhouette-1 dim-1 sum,0.5997719252027002,0.8942033995626386,0.7319925867164394,-0.2944314743599384,-0.1322206615137392,overall,silhouette-1,dim-1,sum
19347,overall silhouette-1 dim-1 norm-1,0.5997719252027002,0.8942033995626386,0.7319925867164394,-0.2944314743599384,-0.1322206615137392,overall,silhouette-1,dim-1,norm-1
2923,channel-13 bd2 dim-1 median,0.6669906777540021,0.8937309163372575,0.8003132774007846,-0.2267402385832554,-0.1333225996467825,channel-13,bd2,dim-1,median
31,channel-0 landscape dim-1 norm-1,0.7337103986291775,0.8934857393212889,0.7785361133556461,-0.1597753406921114,-0.0448257147264685,channel-0,landscape,dim-1,norm-1
23,channel-0 landscape dim-1 mean,0.7337103986291775,0.8934857393212889,0.7785361133556461,-0.1597753406921114,-0.0448257147264685,channel-0,landscape,dim-1,mean
112,channel-0 amplitude-landscape-1-1 dim-1,0.7337103986291775,0.8934857393212889,0.7785361133556461,-0.1597753406921114,-0.0448257147264685,channel-0,amplitude-landscape-1-1,dim-1,
25,channel-0 landscape dim-1 sum,0.7337103986291775,0.8934857393212889,0.7785361133556461,-0.1597753406921114,-0.0448257147264685,channel-0,landscape,dim-1,sum
5244,channel-24 bd2 dim-2 median,0.6661561019407678,0.8927303072736101,0.7180435338307536,-0.2265742053328423,-0.0518874318899857,channel-24,bd2,dim-2,median
19491,overall life dim-1 median,0.6423499153589614,0.8884536646057436,0.8002668325709166,-0.2461037492467822,-0.1579169172119552,overall,life,dim-1,median
2502,channel-11 bd2 dim-1 percentile-25,0.674727565541793,0.8873618056035737,0.7201647297443269,-0.2126342400617806,-0.0454371642025338,channel-11,bd2,dim-1,percentile-25
