index,name,score
135,channel-1 amplitude-silhouette-1-1 norm-2,0.4206715523849679
136,channel-1 amplitude-silhouette-1-2 dim-1,-1.0
137,channel-1 amplitude-silhouette-1-2 dim-2,-0.0171718456160197
138,channel-1 amplitude-silhouette-1-2 norm-1,0.4271835159167166
139,channel-1 amplitude-silhouette-1-2 norm-2,0.4321415155554432
140,channel-1 amplitude-silhouette-2-1 dim-1,0.3826135614416858
141,channel-1 amplitude-silhouette-2-1 dim-2,-0.0975472916241984
142,channel-1 amplitude-silhouette-2-1 norm-1,0.3120030856705693
143,channel-1 amplitude-silhouette-2-1 norm-2,0.3748516488958853
144,channel-1 amplitude-silhouette-2-2 dim-1,-1.0
145,channel-1 amplitude-silhouette-2-2 dim-2,-0.0408110879984478
146,channel-1 amplitude-silhouette-2-2 norm-1,0.4028636307902173
147,channel-1 amplitude-silhouette-2-2 norm-2,-1.0
148,channel-1 life all max,0.2180838240097396
149,channel-1 life all mean,0.114319034598411
150,channel-1 life all std,0.1920791518668743
151,channel-1 life all sum,0.0631243065892743
152,channel-1 life all norm-1,0.0631243065892743
153,channel-1 life all norm-2,0.1042353967084756
154,channel-1 life dim-1 max,0.2178455886032778
155,channel-1 life dim-1 mean,0.0730778261526015
156,channel-1 life dim-1 std,-1.0
157,channel-1 life dim-1 sum,0.0377959554616551
158,channel-1 life dim-1 norm-1,0.0377959554616551
159,channel-1 life dim-1 norm-2,0.10640483230106
160,channel-1 life dim-2 max,0.0174254888347731
161,channel-1 life dim-2 mean,0.0588630767981108
162,channel-1 life dim-2 std,-0.0338022914166869
163,channel-1 life dim-2 sum,0.077000682760088
164,channel-1 life dim-2 norm-1,0.077000682760088
165,channel-1 life dim-2 norm-2,0.0238221590198364
166,channel-1 bd2 all max,0.1430839256853806
167,channel-1 bd2 all mean,0.1270402808817919
168,channel-1 bd2 all std,0.027769100651269
169,channel-1 bd2 all sum,0.1445858144020053
170,channel-1 bd2 all norm-1,0.1445858144020053
171,channel-1 bd2 all norm-2,0.0925053116145615
172,channel-1 bd2 dim-1 max,0.0649317759233627
173,channel-1 bd2 dim-1 mean,0.1310929938600193
174,channel-1 bd2 dim-1 std,0.0711682394865121
175,channel-1 bd2 dim-1 sum,0.2004497654625575
176,channel-1 bd2 dim-1 norm-1,0.2004497654625575
177,channel-1 bd2 dim-1 norm-2,0.1228835575214921
178,channel-1 bd2 dim-2 max,0.0683222672325997
