,N_clusters,K_neighb,Len_min,St_edges,Silh,Cal-Har,Dav-Bold
56,2,34,0,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
57,2,34,20,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
58,2,34,40,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
59,2,34,60,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
60,2,35,0,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
61,2,35,20,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
62,2,35,40,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
63,2,35,60,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
64,2,36,0,[   0  194  343 1046],0.1827240231449069,150.84096008436765,1.8576227169639852
65,2,36,20,[   0  194  343 1046],0.1827240231449069,150.84096008436765,1.8576227169639852
66,2,36,40,[   0  194  343 1046],0.1827240231449069,150.84096008436765,1.8576227169639852
67,2,36,60,[   0  194  343 1046],0.1827240231449069,150.84096008436765,1.8576227169639852
68,2,37,0,[   0  140  288 1046],0.19185144290166414,152.981549006287,1.8145204025774293
69,2,37,20,[   0  140  288 1046],0.19185144290166414,152.981549006287,1.8145204025774293
70,2,37,40,[   0  140  288 1046],0.19185144290166414,152.981549006287,1.8145204025774293
71,2,37,60,[   0  140  288 1046],0.19185144290166414,152.981549006287,1.8145204025774293
72,2,38,0,[   0  140  288 1046],0.19053806419237984,151.41616433526724,1.8188620260316894
73,2,38,20,[   0  140  288 1046],0.19053806419237984,151.41616433526724,1.8188620260316894
74,2,38,40,[   0  140  288 1046],0.19053806419237984,151.41616433526724,1.8188620260316894
75,2,38,60,[   0  140  288 1046],0.19053806419237984,151.41616433526724,1.8188620260316894
76,2,39,0,[   0  282  552 1046],0.17300327396983414,141.91793549190263,2.2730807038586067
77,2,39,20,[   0  282  552 1046],0.17300327396983414,141.91793549190263,2.2730807038586067
78,2,39,40,[   0  282  552 1046],0.17300327396983414,141.91793549190263,2.2730807038586067
79,2,39,60,[   0  282  552 1046],0.17300327396983414,141.91793549190263,2.2730807038586067
80,2,40,0,[   0  335  554 1046],0.12586194252397537,118.99867990101903,2.520910501221386
81,2,40,20,[   0  335  554 1046],0.12586194252397537,118.99867990101903,2.520910501221386
82,2,40,40,[   0  335  554 1046],0.12586194252397537,118.99867990101903,2.520910501221386
83,2,40,60,[   0  335  554 1046],0.12586194252397537,118.99867990101903,2.520910501221386
84,2,41,0,[   0  335 1046],0.12324952368571965,116.62617992591925,2.5475704108942163
85,2,41,20,[   0  335 1046],0.12324952368571965,116.62617992591925,2.5475704108942163
86,2,41,40,[   0  335 1046],0.12324952368571965,116.62617992591925,2.5475704108942163
87,2,41,60,[   0  335 1046],0.12324952368571965,116.62617992591925,2.5475704108942163
