name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 silhouette-2 dim-1 std,2017,1.1735265666055412,0.1989777908985473,0.5028186782223751,0.4413644765720306,2815,626,2189,channel-0,silhouette-2,dim-1,std
channel-0 silhouette-2 dim-1 sum,2017,1.1910868556916534,0.2019552331050764,0.6959434250105032,0.6108856309583257,2739,191,2548,channel-0,silhouette-2,dim-1,sum
channel-0 silhouette-2 dim-1 percentile-25,1,0.0,0.0,0.0,0.0,16012,17702,-1690,channel-0,silhouette-2,dim-1,percentile-25
channel-0 silhouette-2 dim-1 median,1,0.0,0.0,0.0,0.0,16013,17703,-1690,channel-0,silhouette-2,dim-1,median
channel-0 silhouette-2 dim-1 percentile-75,105,0.0,0.0,0.0,0.0,16014,17704,-1690,channel-0,silhouette-2,dim-1,percentile-75
channel-0 silhouette-2 dim-1 kurtosis,2017,0.6389448815472184,0.1083365683010854,0.3361573026779812,0.2950723558378157,6111,1515,4596,channel-0,silhouette-2,dim-1,kurtosis
channel-0 silhouette-2 dim-1 skew,2017,0.6345143840203282,0.1075853534282666,0.3207499267230193,0.2815480602652022,6146,1625,4521,channel-0,silhouette-2,dim-1,skew
channel-0 silhouette-2 dim-1 norm-1,2017,1.1910868556916534,0.2019552331050764,0.6959434250105032,0.6108856309583257,2740,190,2550,channel-0,silhouette-2,dim-1,norm-1
channel-0 silhouette-2 dim-1 norm-2,2017,1.0595598082087283,0.1796541092138116,0.5328328088099311,0.4677102978596849,3244,542,2702,channel-0,silhouette-2,dim-1,norm-2
channel-0 silhouette-2 dim-2 max,2017,0.5724020399615455,0.0970538687903893,0.16784315458387825,0.14732946343800982,6755,3912,2843,channel-0,silhouette-2,dim-2,max
channel-0 silhouette-2 dim-2 mean,2017,1.1891026429461484,0.2016187990779241,0.33473376415986167,0.2938228013559671,2752,1527,1225,channel-0,silhouette-2,dim-2,mean
