index,name,score,mean,variance,unique_values
64,channel-0 life dim-1 std,1.0780751673553337,-9.510132218586428e-17,0.9999999999999998,1046
65,channel-0 life dim-1 sum,0.596684048424121,0.0,1.0,1046
66,channel-0 life dim-1 norm-1,0.596684048424121,0.0,1.0,1046
67,channel-0 life dim-1 norm-2,0.8815443675476434,1.6303083803291018e-16,0.9999999999999998,1046
68,channel-0 life dim-2 max,0.36156551000697745,-2.7171806338818362e-17,1.0,1043
69,channel-0 life dim-2 mean,0.4588349813240656,1.1887665273233034e-16,1.0,1043
70,channel-0 life dim-2 std,0.5230083752414757,-6.7929515847045904e-18,1.0,1024
71,channel-0 life dim-2 sum,0.4032440693381384,2.7171806338818362e-17,0.9999999999999998,1043
72,channel-0 life dim-2 norm-1,0.4032440693381384,2.7171806338818362e-17,0.9999999999999998,1043
73,channel-0 life dim-2 norm-2,0.31333200990949095,1.0868722535527345e-16,1.0,1043
74,channel-0 bd2 all max,0.7105918110328455,-1.0868722535527345e-16,1.0,1046
75,channel-0 bd2 all mean,0.42630663616753445,-1.9020264437172855e-16,1.0,1046
76,channel-0 bd2 all std,0.7375695774735634,-1.7661674120231937e-16,1.0,1046
77,channel-0 bd2 all sum,0.5628371615682313,2.173744507105469e-16,1.0000000000000002,1046
78,channel-0 bd2 all norm-1,0.5628371615682313,2.173744507105469e-16,1.0000000000000002,1046
79,channel-0 bd2 all norm-2,0.50329728002271,4.415418530057984e-16,1.0,1046
80,channel-0 bd2 dim-1 max,0.588805598995089,-1.3585903169409182e-16,0.9999999999999998,1046
81,channel-0 bd2 dim-1 mean,0.5258039825497515,5.63814981530481e-16,0.9999999999999998,1046
82,channel-0 bd2 dim-1 std,0.6972613314078452,0.0,1.0,1046
83,channel-0 bd2 dim-1 sum,0.804117291275358,2.309603538799561e-16,1.0,1046
84,channel-0 bd2 dim-1 norm-1,0.804117291275358,2.309603538799561e-16,1.0,1046
85,channel-0 bd2 dim-1 norm-2,0.6380524318347153,8.966696091810059e-16,1.0,1046
86,channel-0 bd2 dim-2 max,0.6788797185243178,-1.1548017693997805e-16,1.0,1043
