St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
60,40,10,Median,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,40,10,Mode,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,40,10,Median,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,40,10,Mode,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,40,10,Median,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,10,Mode,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,10,Median,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,10,Mode,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,10,Median,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,10,Mode,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,10,Median,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,10,Mode,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,10,Median,40,[   0  110  261  304  556  681  800  856  976 1046],9,252,43,116.22222222222223,389.9878852211225,2.5347567,0.035545487,500.3320428310095,4.131991255771438,0.37029725313186646,202.02007205727844,1.1281728369853292
60,40,10,Mode,40,[   0  110  261  304  556  681  800  856  976 1046],9,252,43,116.22222222222223,389.9878852211225,2.5347567,0.035545487,500.3320428310095,4.131991255771438,0.37029725313186646,202.02007205727844,1.1281728369853292
60,40,10,Median,40,[   0  110  261  329  556  681  800  856  976 1046],9,227,56,116.22222222222223,413.8184563445461,2.5352979,0.03756277,503.42940181958835,3.7474540790927175,0.36507707834243774,211.00391964660423,1.1263716013904728
60,40,10,Mode,40,[   0  110  261  329  556  681  800  856  976 1046],9,227,56,116.22222222222223,413.8184563445461,2.5352979,0.03756277,503.42940181958835,3.7474540790927175,0.36507707834243774,211.00391964660423,1.1263716013904728
60,40,10,Median,40,[   0  110  261  329  556  681  800  856  976 1046],9,227,56,116.22222222222223,413.8184563445461,2.5352979,0.03756277,503.42940181958835,3.7474540790927175,0.36507707834243774,211.00391964660423,1.1263716013904728
60,40,10,Mode,40,[   0  110  261  329  556  681  800  856  976 1046],9,227,56,116.22222222222223,413.8184563445461,2.5352979,0.03756277,503.42940181958835,3.7474540790927175,0.36507707834243774,211.00391964660423,1.1263716013904728
60,40,15,Median,40,[   0  269 1046],2,777,269,523.0,5698.724587568253,5.340329,0.5747024,1461.9762689332513,0.594906129473454,0.5747023820877075,1461.9762689332513,0.594906129473454
60,40,15,Mode,40,[   0  277 1046],2,769,277,523.0,5681.636229557281,5.2820134,0.5694362,1451.4942089850906,0.612705807594257,0.5694361925125122,1451.4942089850906,0.612705807594257
60,40,15,Median,40,[   0  269  667  842 1046],4,398,175,261.5,1790.0231812490217,3.1374094,0.16437687,632.9711399944315,2.9677996185783586,0.3218616545200348,530.5590012740894,1.2127036411211218
60,40,15,Mode,40,[   0  277 1046],2,769,277,523.0,5681.636229557281,5.2820134,0.5694362,1451.4942089850906,0.612705807594257,0.5694361925125122,1451.4942089850906,0.612705807594257
60,40,15,Median,40,[   0  269  556  681  842 1046],5,287,125,209.2,1500.342663318573,3.6447728,0.18852477,710.4410035688438,1.724120031912491,0.4767158031463623,661.7130210453028,0.8036360699789629
60,40,15,Mode,40,[   0  277  556  682  842 1046],5,279,126,209.2,1490.3264898132766,3.6351137,0.18861952,700.4829703883623,1.7323154648998866,0.4766433835029602,653.8701498709272,0.8026681720852087
60,40,15,Median,40,[   0  277  556  681  842 1046],5,279,125,209.2,1489.0749652176203,3.6343372,0.18862781,699.462086052308,1.7344550346261456,0.4762970507144928,652.642501606025,0.804384998167794
60,40,15,Mode,40,[   0  277  556  682  842 1046],5,279,126,209.2,1490.3264898132766,3.6351137,0.18861952,700.4829703883623,1.7323154648998866,0.4766433835029602,653.8701498709272,0.8026681720852087
60,40,15,Median,40,[   0  277  556  681  842  976 1046],6,279,70,174.33333333333334,1307.2486165476714,3.602052,0.18486314,661.5634281032316,2.9912384303099877,0.49177950620651245,600.9466595568351,0.7572397864561246
60,40,15,Mode,40,[   0  277  556  682  842  976 1046],6,279,70,174.33333333333334,1308.3092388423006,3.6026866,0.1849249,662.6122123582326,2.9910237697045283,0.4923441410064697,602.817893766021,0.7568386000499522
60,40,15,Median,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,15,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
60,40,15,Median,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
60,40,15,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
60,40,15,Median,40,[   0  269  556  681  842  976 1046],6,287,70,174.33333333333334,1316.2627750284335,3.6104004,0.18406257,672.8581002916721,3.1060289234025995,0.4921145439147949,608.2030751082573,0.7566406439050597
60,40,15,Mode,40,[   0  227  277  556  682  842  976 1046],7,279,50,149.42857142857142,623.4033614141644,3.0731363,0.10785672,606.558029061334,2.8612333490774033,0.44915392994880676,311.84514367510764,0.8999837034534338
60,40,15,Median,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,15,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,15,Median,40,[   0  261  556  681  842  976 1046],6,295,70,174.33333333333334,1322.0977629329054,3.6175563,0.17880914,677.8698167874395,3.207746864950181,0.49011367559432983,608.2823227733568,0.7580856560126706
60,40,15,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,15,Median,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,15,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,15,Median,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,15,Mode,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,15,Median,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,40,15,Mode,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,40,15,Median,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,40,15,Mode,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,40,20,Median,40,[   0  269 1046],2,777,269,523.0,5698.724587568253,5.340329,0.5747024,1461.9762689332513,0.594906129473454,0.5747023820877075,1461.9762689332513,0.594906129473454
60,40,20,Mode,40,[   0  261 1046],2,785,261,523.0,5696.333534900061,5.3927274,0.5766738,1460.5040232253154,0.5792227429489358,0.5766738057136536,1460.5040232253154,0.5792227429489358
60,40,20,Median,40,[   0  269  667  842 1046],4,398,175,261.5,1790.0231812490217,3.1374094,0.16437687,632.9711399944315,2.9677996185783586,0.3218616545200348,530.5590012740894,1.2127036411211218
60,40,20,Mode,40,[   0  261 1046],2,785,261,523.0,5696.333534900061,5.3927274,0.5766738,1460.5040232253154,0.5792227429489358,0.5766738057136536,1460.5040232253154,0.5792227429489358
60,40,20,Median,40,[   0  269  556  682  842 1046],5,287,126,209.2,1501.6092815401244,3.6455708,0.1885116,711.485391960602,1.7219334964385589,0.47708290815353394,662.9917203383699,0.801910256535451
60,40,20,Mode,40,[   0  261  556  682  842 1046],5,295,126,209.2,1508.9211817562987,3.654542,0.18478815,716.3567420290896,1.7188565874419865,0.4746071696281433,663.1632620834686,0.8037117978668522
60,40,20,Median,40,[   0  269  556  682  842 1046],5,287,126,209.2,1501.6092815401244,3.6455708,0.1885116,711.485391960602,1.7219334964385589,0.47708290815353394,662.9917203383699,0.801910256535451
60,40,20,Mode,40,[   0  261  556  682  842 1046],5,295,126,209.2,1508.9211817562987,3.654542,0.18478815,716.3567420290896,1.7188565874419865,0.4746071696281433,663.1632620834686,0.8037117978668522
60,40,20,Median,40,[   0  269  556  682  842  976 1046],6,287,70,174.33333333333334,1317.3354722237787,3.6110523,0.18411934,673.9343237776839,3.105814262797141,0.49269574880599976,610.1151501399752,0.7562322676101461
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  269  556  682  842  976 1046],6,287,70,174.33333333333334,1317.3354722237787,3.6110523,0.18411934,673.9343237776839,3.105814262797141,0.49269574880599976,610.1151501399752,0.7562322676101461
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  269  556  682  842  976 1046],6,287,70,174.33333333333334,1317.3354722237787,3.6110523,0.18411934,673.9343237776839,3.105814262797141,0.49269574880599976,610.1151501399752,0.7562322676101461
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Mode,40,[   0  261  556  682  842  976 1046],6,295,70,174.33333333333334,1323.1849923967181,3.6182294,0.1788573,678.958329369698,3.2075322043447216,0.4907151758670807,610.2523835360541,0.7576735006752671
60,40,20,Median,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,20,Mode,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,20,Median,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
