index,name,score,mean,variance,unique_values,edges,min_stage_length
67,channel-0 life dim-1 norm-2,0.1386023698109985,1.5299674557140415e-05,3.265603642188915e-11,1046,"[0, 75, 460, 646, 958, 1046]",75.0
68,channel-0 life dim-2 max,0.0833629487909204,1.1427389177092308e-06,7.04210505434377e-13,1043,"[0, 392, 576, 682, 794, 1046]",106.0
69,channel-0 life dim-2 mean,0.0779783510289471,4.596918810651152e-07,8.952372705519273e-14,1043,"[0, 139, 407, 682, 794, 1046]",112.0
70,channel-0 life dim-2 std,0.0373668034219096,3.431315544776471e-07,9.456608434883925e-14,1024,"[0, 83, 392, 682, 794, 1046]",83.0
71,channel-0 life dim-2 sum,0.0272183506072779,3.619858885674564e-06,5.910878936124621e-12,1043,"[0, 172, 484, 623, 958, 1046]",88.0
72,channel-0 life dim-2 norm-1,0.0272183506072779,3.619858885674564e-06,5.910878936124621e-12,1043,"[0, 172, 484, 623, 958, 1046]",88.0
73,channel-0 life dim-2 norm-2,0.1279172573931558,1.5758248241689994e-06,8.640298589403336e-13,1043,"[0, 419, 687, 794, 999, 1046]",47.0
74,channel-0 bd2 all max,0.1347908552623654,1.6616111274934452e-05,3.4794384874807767e-11,1046,"[0, 58, 528, 644, 904, 1046]",58.0
75,channel-0 bd2 all mean,0.1067269081005161,8.536180192488888e-06,3.070922574699858e-12,1046,"[0, 108, 392, 856, 976, 1046]",70.0
76,channel-0 bd2 all std,0.194634509846584,2.46916517356562e-06,1.4712746822763733e-12,1046,"[0, 75, 531, 658, 958, 1046]",75.0
77,channel-0 bd2 all sum,0.1460259260339999,0.0005948182224447,2.339464182983693e-08,1046,"[0, 307, 560, 682, 930, 1046]",116.0
78,channel-0 bd2 all norm-1,0.1460259260339999,0.0005948182224447,2.339464182983693e-08,1046,"[0, 307, 560, 682, 930, 1046]",116.0
79,channel-0 bd2 all norm-2,0.054104846774793,7.376808648417777e-05,2.181527987643452e-10,1046,"[0, 199, 332, 682, 855, 1046]",133.0
80,channel-0 bd2 dim-1 max,0.1785257386396037,1.4596971865002251e-05,2.247572915482001e-11,1046,"[0, 75, 542, 649, 979, 1046]",67.0
81,channel-0 bd2 dim-1 mean,0.1300152676629574,8.177585790260559e-06,2.6741013754154568e-12,1046,"[0, 81, 342, 856, 979, 1046]",67.0
82,channel-0 bd2 dim-1 std,0.1610652321065321,2.114839084376392e-06,9.499116394351081e-13,1046,"[0, 80, 497, 652, 969, 1046]",77.0
83,channel-0 bd2 dim-1 sum,0.2028608680405422,0.000504632754631,1.5743455649988735e-08,1046,"[0, 340, 556, 682, 877, 1046]",126.0
84,channel-0 bd2 dim-1 norm-1,0.2028608680405422,0.000504632754631,1.5743455649988735e-08,1046,"[0, 340, 556, 682, 877, 1046]",126.0
85,channel-0 bd2 dim-1 norm-2,0.2181296511339564,6.604579621348762e-05,1.6962870934034278e-10,1046,"[0, 332, 682, 855, 977, 1046]",69.0
86,channel-0 bd2 dim-2 max,0.184015745053881,1.5377086548832342e-05,3.5774726189272926e-11,1043,"[0, 45, 559, 639, 958, 1046]",45.0
87,channel-0 bd2 dim-2 mean,0.0399040131850665,1.1518815734377492e-05,1.3295152472476136e-11,1043,"[0, 86, 392, 639, 958, 1046]",86.0
88,channel-0 bd2 dim-2 std,0.1759738492532136,2.412541487428445e-06,4.532851550225219e-12,1024,"[0, 51, 559, 631, 916, 1046]",51.0
89,channel-0 bd2 dim-2 sum,0.063806477826068,9.018546781368688e-05,2.428327028652759e-09,1043,"[0, 150, 449, 696, 741, 1046]",45.0
90,channel-0 bd2 dim-2 norm-1,0.063806477826068,9.018546781368688e-05,2.428327028652759e-09,1043,"[0, 150, 449, 696, 741, 1046]",45.0
91,channel-0 bd2 dim-2 norm-2,0.0732937882311578,3.183385884651026e-05,1.1487634070270275e-10,1043,"[0, 337, 548, 694, 958, 1046]",88.0
92,channel-1 entropy dim-1,0.200134327374381,-0.3740720455099031,0.0016632064947118,1046,"[0, 456, 524, 556, 650, 1046]",32.0
93,channel-1 entropy dim-2,0.0272405464122479,-0.1429689545260723,0.0028082299878284,1023,"[0, 51, 336, 650, 835, 1046]",51.0
94,channel-1 numberofpoints dim-1,0.1849952513282171,53.75334608030592,155.29604142461096,70,"[0, 100, 539, 650, 1001, 1046]",45.0
95,channel-1 numberofpoints dim-2,0.0834193941505709,8.820267686424474,23.21742614837107,31,"[0, 65, 547, 650, 794, 1046]",65.0
96,channel-1 amplitude-bottleneck dim-1,0.1940317092987406,4.063433858003567e-06,6.279243966209517e-12,1046,"[0, 65, 529, 654, 916, 1046]",65.0
97,channel-1 amplitude-bottleneck dim-2,-0.0369707762409701,6.966926950265224e-07,2.687977651455667e-13,1043,"[0, 86, 555, 682, 999, 1046]",47.0
98,channel-1 amplitude-bottleneck norm-1,0.1861618916377545,4.76012655303009e-06,6.758893250494112e-12,1046,"[0, 50, 558, 659, 855, 1046]",50.0
99,channel-1 amplitude-bottleneck norm-2,0.182473610075543,4.158374572874412e-06,6.2525555811603255e-12,1046,"[0, 50, 524, 659, 909, 1046]",50.0
100,channel-1 amplitude-wasserstein-1 dim-1,0.0609615497600164,4.081676256321485e-05,1.3363261090441227e-10,1046,"[0, 199, 341, 682, 877, 1046]",142.0
101,channel-1 amplitude-wasserstein-1 dim-2,0.0417240496916617,2.3217958813198965e-06,2.226676343097649e-12,1043,"[0, 321, 547, 665, 828, 1046]",118.0
102,channel-1 amplitude-wasserstein-1 norm-1,0.0602705603830506,4.313855844453476e-05,1.5142153301389418e-10,1046,"[0, 199, 341, 682, 876, 1046]",142.0
103,channel-1 amplitude-wasserstein-1 norm-2,0.0588333877582214,4.090385971491711e-05,1.3413073739294048e-10,1046,"[0, 199, 340, 682, 876, 1046]",141.0
104,channel-1 amplitude-wasserstein-2 dim-1,0.0927109210524591,8.205725725821257e-06,8.41992213679079e-12,1046,"[0, 90, 513, 659, 863, 1046]",90.0
105,channel-1 amplitude-wasserstein-2 dim-2,0.0237963449654184,9.851785336641446e-07,3.688192983202634e-13,1043,"[0, 136, 505, 673, 834, 1046]",136.0
106,channel-1 amplitude-wasserstein-2 norm-1,0.0195373094077658,9.1909042594854e-06,9.8906497843518e-12,1046,"[0, 94, 372, 585, 907, 1046]",94.0
107,channel-1 amplitude-wasserstein-2 norm-2,0.0912658400569042,8.282676857128816e-06,8.490231563805041e-12,1046,"[0, 90, 513, 659, 876, 1046]",90.0
108,channel-1 amplitude-betti-1 dim-1,0.0562380811911202,8.154951181663713e-05,5.567202271254932e-10,116,"[0, 199, 340, 682, 877, 1046]",141.0
109,channel-1 amplitude-betti-1 dim-2,0.0448034044802852,4.643512618723337e-06,9.651919769323154e-12,30,"[0, 321, 556, 665, 971, 1046]",75.0
110,channel-1 amplitude-betti-1 norm-1,0.0561788556164541,8.619302443536047e-05,6.285417436224674e-10,723,"[0, 199, 340, 682, 876, 1046]",141.0
111,channel-1 amplitude-betti-1 norm-2,0.057158537367708,8.172941777825267e-05,5.58552027280953e-10,723,"[0, 198, 341, 682, 876, 1046]",143.0
112,channel-1 amplitude-betti-2 dim-1,0.1830617633230023,0.0314780801677599,7.66667547353987e-05,787,"[0, 199, 550, 666, 851, 1046]",116.0
113,channel-1 amplitude-betti-2 dim-2,0.0335808881543888,0.0027079619320574,2.2324740777543384e-06,83,"[0, 291, 416, 556, 650, 1046]",94.0
114,channel-1 amplitude-betti-2 norm-1,0.1762728940050334,0.0341860420998174,9.05548202358967e-05,1038,"[0, 199, 549, 666, 852, 1046]",117.0
115,channel-1 amplitude-betti-2 norm-2,0.1834006323671044,0.0316222323376478,7.713455259941803e-05,1038,"[0, 199, 550, 666, 852, 1046]",116.0
116,channel-1 amplitude-landscape-1-1 dim-1,0.1959780322593798,2.769877407857712e-11,1.3929696401887654e-21,1046,"[0, 524, 558, 648, 659, 1046]",11.0
117,channel-1 amplitude-landscape-1-1 dim-2,0.0441603919180704,1.0941424366760025e-12,2.777349825652454e-24,1015,"[0, 86, 478, 682, 765, 1046]",83.0
