index,name,score,mean,variance,unique_values,edges,min_stage_length
19,channel-0 betti dim-2 skew,0.0468640008596846,0.0019035120796292,2.376862297211346,110,"[0, 89, 522, 791, 973, 1046]",73.0
20,channel-0 betti dim-2 norm-1,0.0167311330685066,6.718929254302103,14.204177225612243,14,"[0, 160, 411, 621, 870, 1046]",160.0
21,channel-0 betti dim-2 norm-2,0.0539351128298645,3.0130888041268933,2.0953832229030023,39,"[0, 136, 482, 654, 775, 1046]",121.0
22,channel-0 landscape dim-1 max,0.2009304312081752,4.072408171270497e-06,6.899754305405741e-12,1046,"[0, 50, 499, 556, 647, 1046]",50.0
23,channel-0 landscape dim-1 mean,0.1953323165222636,2.8797938619888425e-07,1.6142190201263594e-13,1046,"[0, 450, 512, 556, 647, 1046]",44.0
24,channel-0 landscape dim-1 std,0.2015581773697284,8.13865227979608e-07,5.371370588958998e-13,1046,"[0, 50, 497, 556, 647, 1046]",50.0
25,channel-0 landscape dim-1 sum,0.1953323165222632,2.8797938619888416e-05,1.614219020126361e-09,1046,"[0, 450, 512, 556, 647, 1046]",44.0
26,channel-0 landscape dim-1 percentile-25,-1.0,0.0,0.0,1,,
27,channel-0 landscape dim-1 median,-1.0,0.0,0.0,1,,
28,channel-0 landscape dim-1 percentile-75,0.469892736692411,7.542470011736716e-08,2.509472924153161e-13,42,"[0, 556, 603, 640, 645, 1046]",5.0
29,channel-0 landscape dim-1 kurtosis,0.1303626517352241,16.166705049956313,71.90156261154577,1046,"[0, 74, 504, 647, 967, 1046]",74.0
30,channel-0 landscape dim-1 skew,0.1652909802826613,3.9499532605059504,0.9665151727428364,1046,"[0, 75, 504, 647, 958, 1046]",75.0
31,channel-0 landscape dim-1 norm-1,0.1953323165222632,2.8797938619888416e-05,1.614219020126361e-09,1046,"[0, 450, 512, 556, 647, 1046]",44.0
32,channel-0 landscape dim-1 norm-2,0.1966418098896878,8.669207228896525e-06,6.923101833480808e-11,1046,"[0, 50, 512, 556, 647, 1046]",44.0
33,channel-0 landscape dim-2 max,0.1185935416775808,4.459110936339424e-07,1.713740769046778e-13,1026,"[0, 576, 682, 794, 998, 1046]",48.0
34,channel-0 landscape dim-2 mean,0.142918552912805,1.1989551229532538e-08,3.416346929941861e-16,1026,"[0, 576, 687, 794, 999, 1046]",47.0
35,channel-0 landscape dim-2 std,-0.0007441634315303,5.967700882750442e-08,4.60084022272949e-15,1026,"[0, 83, 576, 682, 794, 1046]",83.0
36,channel-0 landscape dim-2 sum,0.142918552912805,1.1989551229532538e-06,3.4163469299418584e-12,1026,"[0, 576, 687, 794, 999, 1046]",47.0
37,channel-0 landscape dim-2 percentile-25,-1.0,0.0,0.0,1,,
38,channel-0 landscape dim-2 median,-1.0,0.0,0.0,1,,
39,channel-0 landscape dim-2 percentile-75,-1.0,0.0,0.0,1,,
40,channel-0 landscape dim-2 kurtosis,0.039347613857755,49.87060767863496,592.0921434194494,973,"[0, 292, 572, 693, 1003, 1046]",43.0
41,channel-0 landscape dim-2 skew,0.0491369153443717,6.754798200146308,3.549723183452585,966,"[0, 264, 449, 548, 652, 1046]",99.0
42,channel-0 landscape dim-2 norm-1,0.142918552912805,1.1989551229532538e-06,3.4163469299418584e-12,1026,"[0, 576, 687, 794, 999, 1046]",47.0
43,channel-0 landscape dim-2 norm-2,0.1251024002466709,6.093166568377946e-07,4.93489450696273e-13,1026,"[0, 576, 682, 794, 999, 1046]",47.0
44,channel-0 silhouette-1 dim-1 max,0.2098688344829025,9.349437570190896e-07,1.0795768481061394e-12,1046,"[0, 477, 556, 647, 659, 1046]",12.0
45,channel-0 silhouette-1 dim-1 mean,0.2285495847869034,7.193316094165355e-08,2.5764020064657013e-14,1046,"[0, 523, 557, 644, 659, 1046]",15.0
46,channel-0 silhouette-1 dim-1 std,0.2396587697058676,1.9577286932137858e-07,8.847019870599508e-14,1046,"[0, 477, 557, 645, 659, 1046]",14.0
47,channel-0 silhouette-1 dim-1 sum,0.2285495847869034,7.1933160941653565e-06,2.576402006465702e-10,1046,"[0, 523, 557, 644, 659, 1046]",15.0
48,channel-0 silhouette-1 dim-1 percentile-25,-1.0,0.0,0.0,1,,
49,channel-0 silhouette-1 dim-1 median,-1.0,0.0,0.0,1,,
50,channel-0 silhouette-1 dim-1 percentile-75,0.4085717155997951,2.403752478811758e-08,3.5626977300367824e-14,42,"[0, 556, 567, 603, 640, 1046]",11.0
51,channel-0 silhouette-1 dim-1 kurtosis,0.0915618733924549,20.058187682092697,155.92350558541128,1046,"[0, 75, 647, 808, 975, 1046]",71.0
52,channel-0 silhouette-1 dim-1 skew,0.1524332576705556,4.3309716159886245,1.6216467000018555,1046,"[0, 75, 245, 512, 647, 1046]",75.0
53,channel-0 silhouette-1 dim-1 norm-1,0.2285495847869034,7.1933160941653565e-06,2.576402006465702e-10,1046,"[0, 523, 557, 644, 659, 1046]",15.0
54,channel-0 silhouette-1 dim-1 norm-2,0.211631499416704,2.096732875572071e-06,1.1377228564231872e-11,1046,"[0, 519, 556, 644, 659, 1046]",15.0
55,channel-0 silhouette-1 dim-2 max,0.023114886998669,1.991997650533883e-07,9.002132536014729e-14,1026,"[0, 69, 392, 682, 794, 1046]",69.0
56,channel-0 silhouette-1 dim-2 mean,0.1115522281263331,5.054925252997806e-09,1.9469501590350354e-16,1026,"[0, 406, 576, 682, 794, 1046]",106.0
57,channel-0 silhouette-1 dim-2 std,0.0453781004250797,2.6167377834748613e-08,2.574831181329913e-15,1026,"[0, 83, 392, 682, 794, 1046]",83.0
58,channel-0 silhouette-1 dim-2 sum,0.1115522281263332,5.054925252997806e-07,1.946950159035035e-12,1026,"[0, 406, 576, 682, 794, 1046]",106.0
59,channel-0 silhouette-1 dim-2 percentile-25,-1.0,0.0,0.0,1,,
60,channel-0 silhouette-1 dim-2 median,-1.0,0.0,0.0,1,,
61,channel-0 silhouette-1 dim-2 percentile-75,-1.0,0.0,0.0,1,,
62,channel-0 silhouette-1 dim-2 kurtosis,0.0307907874873849,58.603457355520185,616.652519053789,977,"[0, 264, 548, 670, 884, 1046]",122.0
63,channel-0 silhouette-1 dim-2 skew,0.0628745974644238,7.374337648556781,3.585232953494443,966,"[0, 252, 569, 651, 827, 1046]",82.0
64,channel-0 silhouette-1 dim-2 norm-1,0.1115522281263332,5.054925252997806e-07,1.946950159035035e-12,1026,"[0, 406, 576, 682, 794, 1046]",106.0
65,channel-0 silhouette-1 dim-2 norm-2,0.0460727043608194,2.668748218916355e-07,2.7675865693676424e-13,1026,"[0, 83, 392, 682, 794, 1046]",83.0
66,channel-0 silhouette-2 dim-1 max,0.2680257092550696,2.054919862003618e-06,4.453008551713837e-12,1046,"[0, 50, 245, 556, 649, 1046]",50.0
67,channel-0 silhouette-2 dim-1 mean,0.1662955094105549,1.5063424920786538e-07,9.092803433100781e-14,1046,"[0, 518, 556, 646, 659, 1046]",13.0
68,channel-0 silhouette-2 dim-1 std,0.1371399132527089,4.2331857436253394e-07,3.4006587835807897e-13,1046,"[0, 524, 556, 647, 697, 1046]",32.0
69,channel-0 silhouette-2 dim-1 sum,0.166295509410555,1.506342492078654e-05,9.092803433100777e-10,1046,"[0, 518, 556, 646, 659, 1046]",13.0
70,channel-0 silhouette-2 dim-1 percentile-25,-1.0,0.0,0.0,1,,
71,channel-0 silhouette-2 dim-1 median,-1.0,0.0,0.0,1,,
72,channel-0 silhouette-2 dim-1 percentile-75,0.4099272833214062,3.7747162483215156e-08,1.0283201353434783e-13,42,"[0, 558, 567, 603, 640, 1046]",9.0
73,channel-0 silhouette-2 dim-1 kurtosis,0.0883082219538991,20.523231410425847,150.97227943859735,1046,"[0, 50, 301, 647, 930, 1046]",50.0
74,channel-0 silhouette-2 dim-1 skew,0.1651831136831657,4.393928521365959,1.537491077681632,1046,"[0, 51, 524, 663, 966, 1046]",51.0
75,channel-0 silhouette-2 dim-1 norm-1,0.166295509410555,1.506342492078654e-05,9.092803433100777e-10,1046,"[0, 518, 556, 646, 659, 1046]",13.0
76,channel-0 silhouette-2 dim-1 norm-2,0.1930102752059652,4.513781301052577e-06,4.291392156535917e-11,1046,"[0, 510, 556, 646, 659, 1046]",13.0
77,channel-0 silhouette-2 dim-2 max,0.0293124896968031,2.8609560215636655e-07,1.4685873216778985e-13,1026,"[0, 83, 392, 682, 794, 1046]",83.0
78,channel-0 silhouette-2 dim-2 mean,0.099306875680056,6.775407695987082e-09,2.7219932942791545e-16,1026,"[0, 392, 576, 682, 794, 1046]",106.0
79,channel-0 silhouette-2 dim-2 std,0.0418352590789115,3.6701705675466174e-08,3.920797028355048e-15,1026,"[0, 83, 392, 682, 794, 1046]",83.0
80,channel-0 silhouette-2 dim-2 sum,0.0993068756800561,6.77540769598708e-07,2.7219932942791568e-12,1026,"[0, 392, 576, 682, 794, 1046]",106.0
81,channel-0 silhouette-2 dim-2 percentile-25,-1.0,0.0,0.0,1,,
82,channel-0 silhouette-2 dim-2 median,-1.0,0.0,0.0,1,,
83,channel-0 silhouette-2 dim-2 percentile-75,-1.0,0.0,0.0,1,,
84,channel-0 silhouette-2 dim-2 kurtosis,-0.0019643093159482,62.683314806222974,616.4807700487466,973,"[0, 57, 313, 589, 865, 1046]",57.0
85,channel-0 silhouette-2 dim-2 skew,-0.001923097134124,7.6583925005,3.5727580023243832,968,"[0, 58, 264, 649, 794, 1046]",58.0
86,channel-0 silhouette-2 dim-2 norm-1,0.0993068756800561,6.77540769598708e-07,2.7219932942791568e-12,1026,"[0, 392, 576, 682, 794, 1046]",106.0
87,channel-0 silhouette-2 dim-2 norm-2,0.0425580336106812,3.736980335562831e-07,4.189412077225572e-13,1026,"[0, 83, 392, 682, 794, 1046]",83.0
88,channel-0 entropy dim-1,0.2504811567764174,-0.3819050627044406,0.0017936395292099,1046,"[0, 65, 246, 556, 659, 1046]",65.0
89,channel-0 entropy dim-2,0.1005039298112508,-0.1351522554378827,0.0028547604014617,1024,"[0, 105, 588, 821, 971, 1046]",75.0
90,channel-0 numberofpoints dim-1,0.2097576864476271,62.46462715105162,168.315972444583,72,"[0, 98, 238, 550, 650, 1046]",98.0
91,channel-0 numberofpoints dim-2,0.1049084825390024,8.312619502868069,24.73758222254746,35,"[0, 136, 585, 823, 975, 1046]",71.0
92,channel-0 amplitude-bottleneck dim-1,0.1958056130016955,4.324802231114229e-06,6.940858575070935e-12,1046,"[0, 50, 512, 556, 647, 1046]",44.0
93,channel-0 amplitude-bottleneck dim-2,0.0833629487909204,5.713694588546154e-07,1.7605262635859427e-13,1043,"[0, 392, 576, 682, 794, 1046]",106.0
94,channel-0 amplitude-bottleneck norm-1,0.1933749960470262,4.896171689968845e-06,7.129214782182507e-12,1046,"[0, 50, 450, 556, 647, 1046]",50.0
95,channel-0 amplitude-bottleneck norm-2,0.1963599502623289,4.389697086613416e-06,6.877619317438115e-12,1046,"[0, 50, 506, 556, 648, 1046]",50.0
96,channel-0 amplitude-wasserstein-1 dim-1,0.1873830763242159,3.786000196598328e-05,8.482721005887025e-11,1046,"[0, 332, 682, 855, 988, 1046]",58.0
97,channel-0 amplitude-wasserstein-1 dim-2,0.0272183506072779,1.8099294428372816e-06,1.4777197340311552e-12,1043,"[0, 172, 484, 623, 958, 1046]",88.0
98,channel-0 amplitude-wasserstein-1 norm-1,0.1511157941567504,3.966993140882056e-05,9.179132546768299e-11,1046,"[0, 332, 681, 855, 954, 1046]",92.0
99,channel-0 amplitude-wasserstein-1 norm-2,0.1876504213239123,3.792104290638287e-05,8.495373636555873e-11,1046,"[0, 352, 682, 855, 988, 1046]",58.0
100,channel-0 amplitude-wasserstein-2 dim-1,0.1386023698109985,7.649837278570207e-06,8.164009105472288e-12,1046,"[0, 75, 460, 646, 958, 1046]",75.0
101,channel-0 amplitude-wasserstein-2 dim-2,0.1279172573931558,7.879124120844997e-07,2.160074647350833e-13,1043,"[0, 419, 687, 794, 999, 1046]",47.0
102,channel-0 amplitude-wasserstein-2 norm-1,0.0384110812974412,8.437749690654708e-06,8.523831908943991e-12,1046,"[0, 75, 392, 558, 998, 1046]",48.0
103,channel-0 amplitude-wasserstein-2 norm-2,0.0851509234447672,7.706167461226134e-06,8.135582302698016e-12,1046,"[0, 75, 392, 646, 958, 1046]",75.0
104,channel-0 amplitude-betti-1 dim-1,0.1192576538257636,7.577577279765491e-05,3.5388613919346424e-10,94,"[0, 352, 633, 855, 954, 1046]",92.0
105,channel-0 amplitude-betti-1 dim-2,0.0626545881289731,3.624817769755994e-06,6.427287633988107e-12,27,"[0, 253, 554, 654, 934, 1046]",100.0
106,channel-0 amplitude-betti-1 norm-1,0.056182058517555,7.940059056741091e-05,3.820520142688948e-10,609,"[0, 206, 332, 681, 855, 1046]",126.0
107,channel-0 amplitude-betti-1 norm-2,0.0564046095738303,7.590266116375981e-05,3.5420065808550724e-10,609,"[0, 206, 332, 682, 855, 1046]",126.0
108,channel-0 amplitude-betti-2 dim-1,0.1696982268874255,0.0299780861133515,6.0752810502543976e-05,741,"[0, 552, 681, 789, 852, 1046]",63.0
109,channel-0 amplitude-betti-2 dim-2,0.012148160683779,0.0023001413445864,1.7882477180945812e-06,73,"[0, 135, 318, 625, 946, 1046]",100.0
110,channel-0 amplitude-betti-2 norm-1,0.204775158104188,0.0322782274579379,7.0652350425958e-05,1021,"[0, 84, 552, 682, 789, 1046]",84.0
111,channel-0 amplitude-betti-2 norm-2,0.1988952476900684,0.0300899768949091,6.110927709345533e-05,1021,"[0, 84, 552, 681, 789, 1046]",84.0
112,channel-0 amplitude-landscape-1-1 dim-1,0.1953323165222631,3.0469566195199025e-11,1.807058444815239e-21,1046,"[0, 450, 512, 556, 647, 1046]",44.0
113,channel-0 amplitude-landscape-1-1 dim-2,0.142918552912805,7.161168165127127e-13,1.2187758949903722e-24,1026,"[0, 576, 687, 794, 999, 1046]",47.0
114,channel-0 amplitude-landscape-1-1 norm-1,0.1930180711983392,3.118568301171174e-11,1.805545434512221e-21,1046,"[0, 450, 512, 556, 647, 1046]",44.0
115,channel-0 amplitude-landscape-1-1 norm-2,0.1950657380256729,3.051026313485947e-11,1.806306467485067e-21,1046,"[0, 450, 512, 556, 647, 1046]",44.0
116,channel-0 amplitude-landscape-1-2 dim-1,0.1718526936630583,4.214835312923176e-11,2.642833392453672e-21,1046,"[0, 477, 556, 646, 659, 1046]",13.0
117,channel-0 amplitude-landscape-1-2 dim-2,0.1123310460185945,8.07281220129274e-13,1.3643050242616766e-24,1026,"[0, 610, 687, 795, 999, 1046]",47.0
118,channel-0 amplitude-landscape-1-2 norm-1,0.3145124031533413,4.295563434936103e-11,2.6414750842289992e-21,1046,"[0, 510, 558, 647, 958, 1046]",48.0
119,channel-0 amplitude-landscape-1-2 norm-2,0.181138915619818,4.2180244377958935e-11,2.6421581062723977e-21,1046,"[0, 398, 477, 556, 647, 1046]",79.0
120,channel-0 amplitude-landscape-2-1 dim-1,0.1966418098896876,8.917267999913931e-09,7.324965594782717e-17,1046,"[0, 50, 512, 556, 647, 1046]",44.0
121,channel-0 amplitude-landscape-2-1 dim-2,0.125102400246671,4.709052397798642e-10,2.9475339622782576e-19,1026,"[0, 576, 682, 794, 999, 1046]",47.0
122,channel-0 amplitude-landscape-2-1 norm-1,0.1349887569447256,9.388173239693795e-09,7.340197640931963e-17,1046,"[0, 515, 556, 646, 659, 1046]",13.0
123,channel-0 amplitude-landscape-2-1 norm-2,0.2323501508822464,8.952850017733809e-09,7.312990996023841e-17,1046,"[0, 512, 524, 556, 647, 1046]",12.0
124,channel-0 amplitude-landscape-2-2 dim-1,0.1926666475755369,1.0045073643885317e-08,8.105219067176765e-17,1046,"[0, 50, 512, 556, 647, 1046]",44.0
125,channel-0 amplitude-landscape-2-2 dim-2,0.1255683440976224,4.880236415203308e-10,3.028242850231443e-19,1026,"[0, 576, 682, 794, 999, 1046]",47.0
126,channel-0 amplitude-landscape-2-2 norm-1,0.3053686696424037,1.0533097285405646e-08,8.129751528545293e-17,1046,"[0, 50, 556, 647, 958, 1046]",50.0
127,channel-0 amplitude-landscape-2-2 norm-2,0.1917506228477987,1.0076847857328352e-08,8.095343988783033e-17,1046,"[0, 50, 512, 556, 647, 1046]",44.0
128,channel-0 amplitude-silhouette-1-1 dim-1,0.2285495847869034,7.610864922907841e-12,2.884186684071113e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
129,channel-0 amplitude-silhouette-1-1 dim-2,0.1115522281263332,3.019226416890372e-13,6.945711226757508e-25,1026,"[0, 406, 576, 682, 794, 1046]",106.0
130,channel-0 amplitude-silhouette-1-1 norm-1,0.2199440705328305,7.912787564596878e-12,2.8905578397251653e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
131,channel-0 amplitude-silhouette-1-1 norm-2,0.2261379050224016,7.667307129171855e-12,2.8834132510514985e-22,1046,"[0, 523, 557, 644, 659, 1046]",15.0
132,channel-0 amplitude-silhouette-1-2 dim-1,0.1662955094105546,1.5937808216360957e-11,1.0179056885070993e-21,1046,"[0, 518, 556, 646, 659, 1046]",13.0
133,channel-0 amplitude-silhouette-1-2 dim-2,0.0993068756800563,4.0468432028336876e-13,9.710664289733964e-25,1026,"[0, 392, 576, 682, 794, 1046]",106.0
134,channel-0 amplitude-silhouette-1-2 norm-1,0.2109311338700813,1.6342492536644324e-11,1.0181954112084302e-21,1046,"[0, 510, 556, 644, 659, 1046]",15.0
135,channel-0 amplitude-silhouette-1-2 norm-2,0.1648941189013064,1.5990481050582868e-11,1.0173573182312549e-21,1046,"[0, 517, 556, 646, 659, 1046]",13.0
136,channel-0 amplitude-silhouette-2-1 dim-1,0.2116314994167042,2.156728808302606e-09,1.2037640034983684e-17,1046,"[0, 519, 556, 644, 659, 1046]",15.0
137,channel-0 amplitude-silhouette-2-1 dim-2,0.046072704360819,2.0625195550422046e-10,1.653035418537652e-19,1026,"[0, 83, 392, 682, 794, 1046]",83.0
138,channel-0 amplitude-silhouette-2-1 norm-1,0.2046931360981215,2.3629807638068267e-09,1.2246276593254425e-17,1046,"[0, 460, 524, 556, 647, 1046]",32.0
139,channel-0 amplitude-silhouette-2-1 norm-2,0.2053133285640861,2.2010563417016624e-09,1.2052169435665649e-17,1046,"[0, 516, 556, 644, 659, 1046]",15.0
140,channel-0 amplitude-silhouette-2-2 dim-1,0.1930102752059654,4.642938678443539e-09,4.540493648139999e-17,1046,"[0, 510, 556, 646, 659, 1046]",13.0
141,channel-0 amplitude-silhouette-2-2 dim-2,0.0425580336106812,2.8880937378334576e-10,2.502269169518916e-19,1026,"[0, 83, 392, 682, 794, 1046]",83.0
142,channel-0 amplitude-silhouette-2-2 norm-1,0.1506407120352209,4.931748052226885e-09,4.565130818095243e-17,1046,"[0, 510, 556, 647, 697, 1046]",46.0
143,channel-0 amplitude-silhouette-2-2 norm-2,0.3422717973528731,4.687949982894241e-09,4.531825669186439e-17,1046,"[0, 556, 644, 647, 659, 1046]",3.0
144,channel-0 life all max,0.1958056130016955,8.649604462228458e-06,2.7763434300283737e-11,1046,"[0, 50, 512, 556, 647, 1046]",44.0
145,channel-0 life all mean,0.0892931052570849,1.1793037136290368e-06,1.651537289083345e-13,1046,"[0, 75, 392, 645, 970, 1046]",75.0
146,channel-0 life all std,0.2225259204763762,1.5037241111684147e-06,8.479936426801476e-13,1046,"[0, 62, 460, 556, 647, 1046]",62.0
147,channel-0 life all sum,0.1511157941567504,7.933986281764113e-05,3.6716530187073196e-10,1046,"[0, 332, 681, 855, 954, 1046]",92.0
148,channel-0 life all percentile-25,0.0979770396792318,3.339490782838964e-07,7.445249154865974e-15,1046,"[0, 44, 682, 854, 980, 1046]",44.0
149,channel-0 life all median,0.0666513548104806,7.10889648862976e-07,3.1694068874360965e-14,1046,"[0, 44, 352, 682, 854, 1046]",44.0
150,channel-0 life all percentile-75,0.0168819090674911,1.387803194540754e-06,1.5360089945267718e-13,1046,"[0, 93, 341, 605, 855, 1046]",93.0
151,channel-0 life all kurtosis,0.0100032247031562,11.094358214203735,88.78189105659332,1046,"[0, 52, 526, 689, 827, 1046]",52.0
152,channel-0 life all skew,0.0511017971829533,2.857054067648895,1.3042125282238974,1046,"[0, 50, 536, 697, 900, 1046]",50.0
153,channel-0 life all norm-1,0.1511157941567504,7.933986281764113e-05,3.6716530187073196e-10,1046,"[0, 332, 681, 855, 954, 1046]",92.0
154,channel-0 life all norm-2,0.0851509234447672,1.5412334922452267e-05,3.254232921079205e-11,1046,"[0, 75, 392, 646, 958, 1046]",75.0
155,channel-0 life dim-1 max,0.1958056130016955,8.649604462228458e-06,2.7763434300283737e-11,1046,"[0, 50, 512, 556, 647, 1046]",44.0
156,channel-0 life dim-1 mean,0.0262548804501396,1.269803339372964e-06,1.9598005390914806e-13,1046,"[0, 93, 398, 646, 852, 1046]",93.0
157,channel-0 life dim-1 std,0.2287782656941116,1.5592799033407252e-06,9.390270084816676e-13,1046,"[0, 50, 398, 556, 647, 1046]",50.0
158,channel-0 life dim-1 sum,0.1873830763242159,7.572000393196657e-05,3.39308840235481e-10,1046,"[0, 332, 682, 855, 988, 1046]",58.0
159,channel-0 life dim-1 percentile-25,0.0165296891440923,3.80530811185271e-07,1.035728715131396e-14,1046,"[0, 75, 335, 682, 918, 1046]",75.0
160,channel-0 life dim-1 median,0.0123115179821108,7.92459207594874e-07,3.8874581308746014e-14,1046,"[0, 79, 252, 646, 904, 1046]",79.0
161,channel-0 life dim-1 percentile-75,0.0446237476474803,1.4976314014325998e-06,1.8739523609360345e-13,1046,"[0, 93, 507, 644, 855, 1046]",93.0
162,channel-0 life dim-1 kurtosis,0.0045754974611709,9.939731350438766,74.0160494198964,1046,"[0, 50, 349, 536, 704, 1046]",50.0
163,channel-0 life dim-1 skew,0.0728811265880821,2.712594495640153,1.2385203661630333,1046,"[0, 50, 310, 540, 650, 1046]",50.0
164,channel-0 life dim-1 norm-1,0.1873830763242159,7.572000393196657e-05,3.39308840235481e-10,1046,"[0, 332, 682, 855, 988, 1046]",58.0
165,channel-0 life dim-1 norm-2,0.1386023698109985,1.5299674557140415e-05,3.265603642188915e-11,1046,"[0, 75, 460, 646, 958, 1046]",75.0
166,channel-0 life dim-2 max,0.0833629487909204,1.1427389177092308e-06,7.04210505434377e-13,1043,"[0, 392, 576, 682, 794, 1046]",106.0
167,channel-0 life dim-2 mean,0.0779783510289471,4.596918810651152e-07,8.952372705519273e-14,1043,"[0, 139, 407, 682, 794, 1046]",112.0
168,channel-0 life dim-2 std,0.0373668034219096,3.431315544776471e-07,9.456608434883925e-14,1024,"[0, 83, 392, 682, 794, 1046]",83.0
169,channel-0 life dim-2 sum,0.0272183506072779,3.619858885674564e-06,5.910878936124621e-12,1043,"[0, 172, 484, 623, 958, 1046]",88.0
170,channel-0 life dim-2 percentile-25,0.0392875510055089,2.2376647968422886e-07,4.6240197035363956e-14,1042,"[0, 139, 407, 781, 838, 1046]",57.0
171,channel-0 life dim-2 median,0.0080781863756032,3.531451116475702e-07,7.367999351281293e-14,1043,"[0, 139, 407, 781, 999, 1046]",47.0
172,channel-0 life dim-2 percentile-75,0.0663749674660681,5.717893541250706e-07,1.426709107217593e-13,1043,"[0, 139, 407, 675, 794, 1046]",119.0
173,channel-0 life dim-2 kurtosis,0.0265472500482803,-0.2403500359741304,2.1012014695169894,942,"[0, 168, 448, 589, 897, 1046]",141.0
174,channel-0 life dim-2 skew,-0.019554103212648,0.7784508800195069,0.4621530813391906,985,"[0, 45, 482, 621, 888, 1046]",45.0
175,channel-0 life dim-2 norm-1,0.0272183506072779,3.619858885674564e-06,5.910878936124621e-12,1043,"[0, 172, 484, 623, 958, 1046]",88.0
176,channel-0 life dim-2 norm-2,0.1279172573931558,1.5758248241689994e-06,8.640298589403334e-13,1043,"[0, 419, 687, 794, 999, 1046]",47.0
177,channel-0 bd2 all max,0.1347908552623654,1.6616111274934452e-05,3.4794384874807767e-11,1046,"[0, 58, 528, 644, 904, 1046]",58.0
178,channel-0 bd2 all mean,0.1067269081005161,8.536180192488888e-06,3.070922574699858e-12,1046,"[0, 108, 392, 856, 976, 1046]",70.0
179,channel-0 bd2 all std,0.194634509846584,2.46916517356562e-06,1.4712746822763733e-12,1046,"[0, 75, 531, 658, 958, 1046]",75.0
180,channel-0 bd2 all sum,0.1460259260339999,0.0005948182224447,2.339464182983693e-08,1046,"[0, 307, 560, 682, 930, 1046]",116.0
181,channel-0 bd2 all percentile-25,0.0423196927165,6.871032040450777e-06,1.7445248054086825e-12,1046,"[0, 206, 343, 682, 855, 1046]",137.0
182,channel-0 bd2 all median,0.0246576328841852,8.070260643495658e-06,2.6253196943811945e-12,1046,"[0, 93, 404, 690, 844, 1046]",93.0
183,channel-0 bd2 all percentile-75,0.0861967226382959,9.67098415685976e-06,4.844703356380994e-12,1046,"[0, 108, 397, 856, 977, 1046]",69.0
184,channel-0 bd2 all kurtosis,0.0749045698979022,2.0591224571023683,14.369319703321024,1046,"[0, 51, 524, 597, 850, 1046]",51.0
185,channel-0 bd2 all skew,0.0656328200870822,1.076870040550908,0.6586144961573593,1046,"[0, 91, 524, 642, 850, 1046]",91.0
186,channel-0 bd2 all norm-1,0.1460259260339999,0.0005948182224447,2.339464182983693e-08,1046,"[0, 307, 560, 682, 930, 1046]",116.0
187,channel-0 bd2 all norm-2,0.054104846774793,7.376808648417777e-05,2.181527987643452e-10,1046,"[0, 199, 332, 682, 855, 1046]",133.0
188,channel-0 bd2 dim-1 max,0.1785257386396037,1.4596971865002251e-05,2.2475729154820015e-11,1046,"[0, 75, 542, 649, 979, 1046]",67.0
189,channel-0 bd2 dim-1 mean,0.1300152676629574,8.177585790260559e-06,2.6741013754154568e-12,1046,"[0, 81, 342, 856, 979, 1046]",67.0
