,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
302,0,50,15,Median,40,[   0   71  424  633  693  753 1270 1318 1501 1634 1698 1881 1922],12,517,41,160.16666666666666,20123.15126887293,18.381295444728323,-0.06937985937649906,55.95119845528778,3.899803621949118,0.18211148879373484,34.68116956108942,2.65533785771572,0.8567976638107606,0.7900496061799728,0.8204078754303736
303,0,50,15,Mode,40,[   0   71  394  633  693  758 1270 1318 1501 1640 1698 1880 1922],12,512,42,160.16666666666666,20262.3056368934,18.404973235709306,-0.05271305796858817,56.495448702996725,3.970057410836677,0.18866641367742057,36.60488950376152,2.719384050447126,0.8708859331176193,0.8245028423764584,0.8494649634629571
304,0,50,15,Median,40,[   0   71  424  633  693  753 1270 1318 1501 1634 1698 1881 1922],12,517,41,160.16666666666666,20123.15126887293,18.381295444728323,-0.06937985937649906,55.95119845528778,3.899803621949118,0.18211148879373484,34.68116956108942,2.65533785771572,0.8567976638107606,0.7900496061799728,0.8204078754303736
305,0,50,15,Mode,40,[   0   71  394  633  693  758 1270 1318 1501 1640 1698 1880 1922],12,512,42,160.16666666666666,20262.3056368934,18.404973235709306,-0.05271305796858817,56.495448702996725,3.970057410836677,0.18866641367742057,36.60488950376152,2.719384050447126,0.8708859331176193,0.8245028423764584,0.8494649634629571
306,0,50,15,Median,40,[   0   71  424  633  693  753 1270 1318 1501 1634 1698 1881 1922],12,517,41,160.16666666666666,20123.15126887293,18.381295444728323,-0.06937985937649906,55.95119845528778,3.899803621949118,0.18211148879373484,34.68116956108942,2.65533785771572,0.8567976638107606,0.7900496061799728,0.8204078754303736
307,0,50,15,Mode,40,[   0   71  394  633  693  758 1270 1318 1501 1640 1698 1880 1922],12,512,42,160.16666666666666,20262.3056368934,18.404973235709306,-0.05271305796858817,56.495448702996725,3.970057410836677,0.18866641367742057,36.60488950376152,2.719384050447126,0.8708859331176193,0.8245028423764584,0.8494649634629571
308,0,50,20,Median,40,[   0  394 1501 1922],3,1107,394,640.6666666666666,43734.48118216744,11.980879877521765,0.03494410388859215,57.19605533403587,3.7692827634229,0.09555624800271027,60.9896626238758,3.6458182651436397,0.8367442750976798,0.870126365652226,0.9255962643855001
309,0,50,20,Mode,40,[   0   71 1880 1922],3,1809,42,640.6666666666666,80080.17365296026,38.175553607162556,0.38621575662592433,111.18478907159837,1.714002673970417,0.4632680016992736,122.88744103462639,1.514388724065956,0.8244390869957239,0.8941049621295092,0.9870156322208747
310,0,50,20,Median,40,[   0   71 1048 1880 1922],4,977,42,480.5,72419.14119543052,29.411760200023604,0.08167416988841113,105.24627516043594,2.5652401725158542,0.34345314344595823,118.47362779214961,2.145987184664576,0.936923970985487,0.9695310865135891,0.9830688513030955
311,0,50,20,Mode,40,[   0   71 1270 1880 1922],4,1199,42,480.5,87316.64893194837,30.84423380250406,0.16200192350036657,131.55203820616774,2.0458597120415503,0.373246232842743,148.73252916233864,1.7978763399354385,0.9499642101424927,0.9807730476314106,0.9901778331301975
312,0,50,20,Median,40,[   0   71 1327 1881 1922],4,1256,41,480.5,84549.27554433075,30.916965490437082,0.14916186108804513,124.89494048022334,1.9561391621593212,0.35481242207837177,132.0067374079861,1.7277079228736636,0.9430819713290048,0.9790448649133444,0.9897140101297325
313,0,50,20,Mode,40,[   0   71 1047 1270 1880 1922],5,976,42,384.4,56627.35677242467,25.834849222179635,0.024433521643368476,104.10236369877259,2.8134027070198178,0.2739566106071667,93.76299090159296,2.2601473841987723,0.9548771221632185,0.9765124845916328,0.9852530649787822
314,0,50,20,Median,40,[   0   71  424 1327 1881 1922],5,903,41,384.4,64882.3981342684,25.41559400546258,0.04189093625679892,102.27343670673518,2.7870779608565726,0.27620913193796015,102.94812278699716,2.290117084521579,0.8601866713574932,0.8686867480192377,0.9151280243276382
315,0,50,20,Mode,40,[   0   71  424 1270 1880 1922],5,846,42,384.4,68154.37621408289,25.568822677807873,0.049236717941990034,108.8900124441983,2.7069185317974522,0.29115250856597874,115.15749001224984,2.2093140310191135,0.8666696655645686,0.8736098381232543,0.9168705354635475
316,0,50,20,Median,40,[   0   71  753 1295 1881 1922],5,682,41,384.4,74370.99671473318,26.90077336162483,0.08109492523571538,117.6961670251247,2.231349489554496,0.30485571692254687,126.33755546600507,1.9147008259610157,0.8970304928079268,0.9221261549984031,0.9453146452225277
317,0,50,20,Mode,40,[   0   71  758 1270 1880 1922],5,687,42,384.4,74692.26126933369,26.936409499965954,0.07846680601278838,119.40208488763899,2.248496762632238,0.31319121205666145,133.63258789537733,1.913396919754672,0.9464549902533745,0.9650169635101921,0.9754879387840243
